id,rep,stages,scens,duality_handler,forward_pass,backward_pass,sampling_scheme,fpass_type,mipgap,M,total_time,backward_pass_time,iterations,lower_bound,ci_low,ci_high,gap,std_cuts,nonstd_cuts,delta,type1_prob,type2_prob,aggregation_timestamp
57,1,10,7,Benders,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,56.15688991546631,19.436,148,24746.499817674256,24741.778372204113,25056.672289887538,1.2378837406053425,932,0,0.01,1.28,1.28,2025-11-11T09:59:52.757
58,1,11,3,Lagrangian,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,71.0194730758667,59.341,28,31442.48417512222,31289.484723237834,31538.188780770102,0.30345625207950216,0,319,0.01,1.28,1.28,2025-11-11T09:59:52.757
58,1,11,3,Lagrangian,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,36.32077693939209,24.76,28,31344.364100466035,31574.96803609844,31822.840806786397,1.503563774288573,362,59,0.01,1.28,1.28,2025-11-11T09:59:52.757
58,1,11,3,Laporte,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,3607.0163860321045,2258.339,903,4902.278886985425,38498.77816859905,38754.45172166427,87.35041093551328,0,15775,0.01,1.28,1.28,2025-11-11T09:59:52.757
58,1,11,3,Laporte,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,24.67504906654358,12.062,28,31237.426387273128,31522.092189884617,31770.099222058354,1.6766483197363917,289,145,0.01,1.28,1.28,2025-11-11T09:59:52.757
58,1,11,3,Benders,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,13.649700164794922,4.121,28,31154.16341079236,31299.13208465616,31547.989372580578,1.2483393383240617,222,0,0.01,1.28,1.28,2025-11-11T09:59:52.757
59,1,12,3,Lagrangian,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,33.75508189201355,25.213,11,36458.38372358138,36049.06182316229,36670.26656067902,0.5778055546638419,0,180,0.01,1.28,1.28,2025-11-11T09:59:52.757
59,1,12,3,Lagrangian,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,17.182401180267334,9.303,11,36373.4783435546,36046.35863147279,36667.685251231946,0.8023601862554526,168,20,0.01,1.28,1.28,2025-11-11T09:59:52.757
59,1,12,3,Laporte,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,3611.1287910938263,2400.353,930,4650.841239855885,43602.99720425467,44271.20860895087,89.49465942767245,0,17697,0.01,1.28,1.28,2025-11-11T09:59:52.757
59,1,12,3,Laporte,DefaultMultiForwardPass,Angulo,InSampleMonteCarloMultiple,1,0.0001,2,13.851020097732544,4.584,11,36217.820463369506,36365.85841749646,36990.22630231685,2.0881349376847798,182,18,0.01,1.28,1.28,2025-11-11T09:59:52.757
59,1,12,3,Benders,DefaultMultiForwardPass,Default,InSampleMonteCarloMultiple,1,0.0001,2,12.467262983322144,3.81,11,36199.24897822029,36059.28135790407,36679.13328145088,1.3083305419140654,171,0,0.01,1.28,1.28,2025-11-11T09:59:52.757
